title,team,location,posted_date,url,source,job_category,description,job_id,first_seen_date,last_seen_date
"Software Development Engineer II, Worldwide Prime Benefits, Prime Benefits",retail,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10434517/software-development-engineer-ii-worldwide-prime-benefits-prime-benefits,amazon,Software Development,"Are you passionate about transforming the shopping experience for millions of Prime members worldwide? Join Amazon's Benefits, Pricing & Constructs team where you'll build innovative technical solutions",10434517,2026-05-29,2026-05-29
"Flight Monitor, Amazon - Prime Air",retail,"US, TX, Dallas",2026-05-29,https://www.amazon.jobs/en/jobs/10434446/flight-monitor-amazon-prime-air,amazon,Fulfillment & Operations Management,"Here  at Amazon, we embrace our differences. We are committed to furthering our  culture of diversity and inclusion of our teams within the organization.How do you get items to customers quickly, cost-effectively,",10434446,2026-05-29,2026-05-29
"Supplier Quality Engineer, (Infrastructure Reliability & Quality Engineer)",aws,"US, VA, Herndon",2026-05-29,https://www.amazon.jobs/en/jobs/10434851/supplier-quality-engineer-infrastructure-reliability-quality-engineer,amazon,"Systems, Quality, & Security Engineering","AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers",10434851,2026-05-29,2026-05-29
"Connectivity Cloud Hardware Engineer, Network Product Development ",aws,"US, TX, Austin",2026-05-29,https://www.amazon.jobs/en/jobs/10434797/connectivity-cloud-hardware-engineer-network-product-development,amazon,Hardware Development,"AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers",10434797,2026-05-29,2026-05-29
"Solutions Architect, WWPS SA -  NPO Research",aws,"US, NY, New York",2026-05-29,https://www.amazon.jobs/en/jobs/10434864/solutions-architect-wwps-sa-npo-research,amazon,Solutions Architect,"Our MissionWe are the trusted advisors and thought leaders who enable Nonprofits to succeed in their missions. We earn trust by listening to our customers, prioritizing their needs, and delivering value",10434864,2026-05-29,2026-05-29
"Delivery Consultant - AI/ML, AWS Professional Services",aws,"US, VA, Arlington",2026-05-29,https://www.amazon.jobs/en/jobs/10434525/delivery-consultant-ai-ml-aws-professional-services,amazon,Machine Learning Science,"Are you excited about building software solutions around large, complex Machine Learning (ML) and Artificial Intelligence (AI) systems? Want to help the largest global enterprises derive business value",10434525,2026-05-29,2026-05-29
"Sr. Delivery Consultant - AI/ML, AWS Professional Services",aws,"US, VA, Arlington",2026-05-29,https://www.amazon.jobs/en/jobs/10434523/sr-delivery-consultant-ai-ml-aws-professional-services,amazon,Solutions Architect,"The Amazon Web Services Professional Services (ProServe) team is seeking a skilled Delivery Consultant to join our team at Amazon Web Services (AWS). In this role, you'll work closely with customers to",10434523,2026-05-29,2026-05-29
"Senior Manager, Product Management, Customer Success Intelligence, AWS Specialist and Partner Organization",aws,"US, CA, Mountain View",2026-05-29,https://www.amazon.jobs/en/jobs/10434430/senior-manager-product-management-customer-success-intelligence-aws-specialist-and-partner-organization,amazon,Project/Program/Product Management--Technical,"AWS is seeking an experienced and strategic Senior Manager, Product Management, to lead the CS Intelligence team within the Customer Success Center of Excellence (CS COE), a critical function within the",10434430,2026-05-29,2026-05-29
"Prime Air Maintenance Technician, Amazon Prime Air",retail,"US, TX, Dallas",2026-05-29,https://www.amazon.jobs/en/jobs/10434483/prime-air-maintenance-technician-amazon-prime-air,amazon,"Facilities, Maintenance, & Real Estate","Here at Amazon, we embrace our differences. We are committed to furthering our culture of diversity and inclusion of our teams within the organization. How do you get items to customers quickly, cost-effectively,",10434483,2026-05-29,2026-05-29
"System Eng, HW Validation, Customer Terminals Hardware Design ",alexa-and-amazon-devices,"US, WA, Redmond",2026-05-29,https://www.amazon.jobs/en/jobs/10434734/system-eng-hw-validation-customer-terminals-hardware-design,amazon,Hardware Development,"Amazon Leo is an initiative to launch a constellation of Low Earth Orbit satellites that will provide low-latency, high-speed broadband connectivity to unserved and underserved communities around the world.",10434734,2026-05-29,2026-05-29
"Prime Air Sr. Maintenance Technician, Amazon Prime Air",retail,"US, TX, Dallas",2026-05-29,https://www.amazon.jobs/en/jobs/10434484/prime-air-sr-maintenance-technician-amazon-prime-air,amazon,"Facilities, Maintenance, & Real Estate","Here at Amazon, we embrace our differences. We are committed to furthering our culture of diversity and inclusion of our teams within the organization. How do you get items to customers quickly, cost-effectively,",10434484,2026-05-29,2026-05-29
"Certified Pharmacy Technician, Amazon Pharmacy",healthcare,"US, OH, Middleburg Heights",2026-05-29,https://www.amazon.jobs/en/jobs/10434447/certified-pharmacy-technician-amazon-pharmacy,amazon,"Medical, Health, & Safety","Innovation is at the core of what we do. We believe that by removing and reducing the barriers that prevent people from taking their medications, we can help customers conveniently get the medications",10434447,2026-05-29,2026-05-29
Mechatronics & Robotics Tech ,operations,"US, VA, Virginia Beach",2026-05-29,https://www.amazon.jobs/en/jobs/10434401/mechatronics-robotics-tech,amazon,"Facilities, Maintenance, & Real Estate","About Maintenance at AmazonOperations is at the heart of Amazon’s business. We are known for our speed, accuracy, and exceptional service. Our buildings deliver tens of thousands of products to hundreds",10434401,2026-05-29,2026-05-29
"Software Development Engineer - Testing Infrastructure & Performance, Trainium/Neuron, Annapurna Labs",aws,"US, CA, Cupertino",2026-05-29,https://www.amazon.jobs/en/jobs/10434242/software-development-engineer-testing-infrastructure-performance-trainium-neuron-annapurna-labs,amazon,Software Development,"The Neuron team within Annapurna ML develops the software stack that powers AWS’s custom AI training and inference chips (Trainium, Inferentia). Our team builds and operates the testing infrastructure",10434242,2026-05-29,2026-05-29
